middle.x,middle.y,middle.z,side1.x,side1.y,side1.z,side2.x,side2.y,side2.z
8761.168,5578.789,149.778,9061.168,5578.789,149.778,8461.168,5578.789,149.778
8709.828,4993.044,149.778,9009.828,4993.044,149.778,8409.828,4993.044,149.778
8676.361,4442.056,149.778,8976.361,4442.056,149.778,8376.361,4442.056,149.778
8638.955,3950.782,149.778,8938.955,3950.782,149.778,8338.955,3950.782,149.778
8621.921,3417.652,149.778,8921.921,3417.652,149.778,8321.921,3417.652,149.778
8605.261,2952.751,149.778,8905.261,2952.751,149.778,8305.261,2952.751,149.778
8588.581,2452.967,149.778,8888.581,2452.967,149.778,8288.581,2452.967,149.778
8592.516,1973.101,149.778,8892.516,1973.101,149.778,8292.516,1973.101,149.778
8577.829,1425.902,149.778,8877.829,1425.902,149.778,8277.829,1425.902,149.778
8561.523,935.459,149.778,8861.523,935.459,149.778,8261.523,935.459,149.778
8572.781,444.083,149.778,8872.781,444.083,149.778,8272.781,444.083,149.778
8565.075,-121.705,149.778,8865.075,-121.705,149.778,8265.075,-121.705,149.778
8579.808,-614.898,149.778,8879.808,-614.898,149.778,8279.808,-614.898,149.778
8598.012,-1113.373,149.778,8898.012,-1113.373,149.778,8298.012,-1113.373,149.778
8613.334,-1676.253,149.778,8913.334,-1676.253,149.778,8313.334,-1676.253,149.778
8607.306,-2194.728,149.778,8907.306,-2194.728,149.778,8307.306,-2194.728,149.778
8649.654,-2736.665,149.778,8949.654,-2736.665,149.778,8349.654,-2736.665,149.778
8646.558,-3269.312,149.778,8946.558,-3269.312,149.778,8346.558,-3269.312,149.778
8659.58,-3682.982,149.778,8959.58,-3682.982,149.778,8359.58,-3682.982,149.778
8703.09,-4216.322,149.778,9003.09,-4216.322,149.778,8403.09,-4216.322,149.778
8735.366,-4714.271,149.778,9035.366,-4714.271,149.778,8435.366,-4714.271,149.778
8734.082,-5192.445,149.778,9034.082,-5192.445,149.778,8434.082,-5192.445,149.778
8736.543,-5726.915,149.778,9036.543,-5726.915,149.778,8436.543,-5726.915,149.778
8740.741,-6172.459,149.778,9040.741,-6172.459,149.778,8440.741,-6172.459,149.778
8780.397,-6591.601,125.249,9121.64,-6595.722,125.249,8419.434,-6605.515,125.249
8849.015,-7033.22,207.513,9174.59,-6966.994,207.513,8459.809,-7098.481,207.513
8939.995,-7371.025,283.138,9264.988,-7235.19,283.138,8599.113,-7524.008,310.217
9076.681,-7646.126,403.0,9371.094,-7501.933,403.0,8751.779,-7828.138,403.0
9340.285,-8048.505,500.869,9636.169,-7848.823,500.869,9064.505,-8254.785,500.869
9579.529,-8316.496,500.869,9825.249,-8026.34,500.869,9352.534,-8636.167,500.869
9960.259,-8576.049,529.198,10180.592,-8265.204,529.198,9736.318,-8903.491,529.198
10272.24,-8770.011,529.198,10455.265,-8441.483,529.198,10085.694,-9115.653,529.198
10602.396,-8985.091,529.198,10796.793,-8646.19,529.198,10439.676,-9323.298,529.198
10877.959,-9173.267,529.198,11072.356,-8834.366,529.198,10715.239,-9511.474,529.198
11163.764,-9384.771,529.198,11412.359,-9083.368,529.198,10946.512,-9690.816,529.198
11410.699,-9637.197,529.198,11659.295,-9335.794,529.198,11193.447,-9943.242,529.198
11584.418,-9921.932,569.523,11889.232,-9765.24,569.523,11295.653,-10112.301,569.523
11795.877,-10243.404,607.087,12134.9,-10122.258,607.087,11427.362,-10407.455,607.087
11934.742,-10571.688,607.087,12273.766,-10450.541,607.087,11566.228,-10735.738,607.087
12035.431,-10929.938,607.087,12386.441,-10849.907,607.087,11650.043,-11049.067,607.087
12067.695,-11290.089,697.076,12426.193,-11257.04,697.076,11669.964,-11357.362,697.076
12051.299,-11679.345,726.775,12408.255,-11726.205,718.027,11703.135,-11657.209,697.076
11979.775,-12007.132,785.117,12352.657,-12162.402,776.37,11645.521,-11907.221,755.418
11851.087,-12326.398,785.117,12194.99,-12538.248,776.37,11536.647,-12175.283,755.418
11657.255,-12620.996,844.265,12001.158,-12832.846,835.517,11342.815,-12469.881,814.565
11387.971,-12912.493,869.328,11680.313,-13157.832,890.015,11166.147,-12751.374,862.533
11099.48,-13186.143,901.886,11391.823,-13431.481,890.015,10857.64,-12976.894,862.533
10827.552,-13420.403,944.675,11079.232,-13760.171,932.804,10640.602,-13160.939,905.322
10467.938,-13648.354,944.675,10679.588,-14014.399,932.804,10311.522,-13369.416,905.322
10121.452,-13842.684,981.769,10237.628,-14172.84,981.769,10005.276,-13512.527,981.769
9757.771,-13980.915,981.769,9873.946,-14311.071,981.769,9641.595,-13650.759,981.769
9418.113,-14053.038,1055.113,9483.313,-14447.155,1055.113,9352.913,-13709.165,1055.113
9083.317,-14146.982,1096.272,9161.91,-14488.044,1096.272,8994.658,-13760.623,1096.272
8776.309,-14202.348,1140.079,8811.941,-14550.529,1140.079,8736.312,-13807.97,1140.079
8373.674,-14214.931,1201.913,8372.411,-14564.929,1201.913,8375.467,-13818.533,1201.913
8021.371,-14194.799,1219.327,7974.585,-14541.658,1219.327,8074.718,-13802.004,1219.327
7621.864,-14145.582,1231.656,7538.426,-14485.491,1231.656,7716.715,-13760.696,1231.656
7256.808,-14051.739,1272.315,7173.37,-14391.648,1272.315,7351.659,-13666.854,1272.315
6897.086,-13904.359,1320.382,6761.583,-14227.065,1320.382,7050.888,-13539.012,1320.382
6585.574,-13760.93,1384.775,6429.117,-14074.013,1384.775,6763.097,-13406.501,1384.775
6249.504,-13583.884,1384.775,6093.047,-13896.967,1384.775,6427.028,-13229.455,1384.775
5890.566,-13338.578,1419.366,5675.81,-13614.946,1419.366,6134.081,-13025.793,1419.366
5522.323,-12979.148,1499.806,5267.736,-13219.327,1499.806,5810.91,-12707.392,1499.806
5268.505,-12663.957,1611.604,5013.919,-12904.136,1611.604,5557.092,-12392.2,1611.604
5042.428,-12390.024,1697.076,4787.842,-12630.203,1697.076,5331.015,-12118.268,1697.076
4762.849,-12100.417,1697.076,4508.263,-12340.596,1697.076,5051.436,-11828.66,1697.076
4485.806,-11794.442,1697.076,4224.126,-12026.872,1697.076,4782.418,-11531.469,1697.076
4256.994,-11498.244,1697.076,3995.314,-11730.674,1697.076,4553.606,-11235.271,1697.076
3982.026,-11153.899,1697.076,3720.346,-11386.329,1697.076,4278.638,-10890.926,1697.076
3709.289,-10790.165,1728.834,3447.61,-11022.595,1728.834,3972.996,-10571.586,1728.834
3387.083,-10470.018,1736.766,3125.404,-10702.447,1736.766,3683.696,-10207.044,1736.766
3062.357,-10151.732,1739.218,2838.208,-10420.539,1739.218,3316.501,-9847.521,1739.218
2747.53,-9922.504,1746.175,2546.663,-10209.127,1746.175,2975.324,-9598.091,1746.175
2348.223,-9681.336,1736.461,2200.864,-9998.803,1736.461,2515.448,-9321.934,1736.461
1991.987,-9570.55,1736.461,1884.546,-9903.651,1736.461,2114.017,-9193.399,1736.461
1679.14,-9494.565,1736.461,1650.379,-9843.382,1736.461,1713.505,-9136.327,1736.461
1290.479,-9493.76,1736.461,1320.83,-9842.441,1736.461,1259.702,-9209.469,1736.463
893.178,-9571.537,1664.222,977.896,-9911.13,1664.222,797.582,-9247.654,1664.221
530.392,-9672.177,1652.492,645.951,-10002.55,1652.492,399.855,-9297.886,1652.492
184.509,-9784.291,1633.184,327.348,-10103.817,1633.184,23.064,-9422.256,1633.184
-124.648,-9929.235,1603.078,29.429,-10243.497,1603.078,-298.826,-9573.151,1603.078
-430.691,-10123.461,1558.418,-292.753,-10387.148,1558.419,-629.227,-9780.361,1558.418
-717.828,-10293.483,1494.549,-581.873,-10542.136,1494.549,-916.364,-9950.384,1494.549
-990.432,-10496.166,1457.923,-808.932,-10713.812,1457.923,-1250.093,-10211.871,1457.923
-1211.157,-10693.419,1406.104,-1004.437,-10887.271,1406.104,-1513.583,-10444.368,1406.104
-1455.457,-10989.988,1378.827,-1224.287,-11153.915,1378.827,-1789.402,-10742.802,1378.826
-1701.822,-11328.139,1388.067,-1470.651,-11492.065,1388.067,-1985.632,-11149.368,1388.067
-1995.083,-11722.432,1300.54,-1706.306,-11920.189,1300.54,-2283.859,-11524.674,1300.54
