middle.x,middle.y,middle.z,side1.x,side1.y,side1.z,side2.x,side2.y,side2.z,group_id,inter_id
1799.04,14413.256,466.873,1834.779,14115.393,466.873,1763.3,14711.119,466.873,0,5
2363.353,14456.115,452.851,2368.378,14156.157,452.851,2358.328,14756.073,452.851,0,-1
2865.82,14456.115,427.016,2839.433,14157.278,427.016,2892.207,14754.952,427.016,0,-1
3459.21,14393.904,386.587,3401.904,14099.429,386.587,3516.515,14688.38,386.587,0,-1
4004.745,14283.843,347.653,3947.44,13989.367,347.653,4062.051,14578.318,347.653,0,-1
4497.643,14178.565,307.823,4414.804,13890.229,307.823,4580.481,14466.901,307.823,0,-1
5076.676,14015.867,259.002,4993.837,13727.531,259.002,5159.515,14304.203,259.002,0,-1
5706.994,13848.217,218.493,5624.155,13559.881,218.493,5789.833,14136.553,218.493,0,-1
6262.46,13650.375,181.756,6179.621,13362.039,181.756,6345.299,13938.711,181.756,0,-1
6834.5,13447.921,153.878,6751.662,13159.585,153.878,6917.339,13736.257,153.878,0,-1
7424.758,13291.561,132.883,7341.919,13003.225,132.883,7507.597,13579.896,132.883,0,-1
7996.247,13132.452,125.714,7913.408,12844.116,125.714,8079.085,13420.788,125.714,0,0
9087.213,13248.414,176.264,9181.576,12963.642,176.264,8992.85,13533.187,176.264,1,0
9648.635,13394.874,160.385,9742.998,13110.102,160.385,9554.271,13679.646,160.385,1,-1
10136.829,13559.643,150.85,10247.605,13280.844,150.85,10026.053,13838.441,150.85,1,-1
10630.472,13763.54,210.107,10741.248,13484.741,210.107,10519.695,14042.339,210.107,1,-1
11254.232,14037.19,137.482,11365.009,13758.392,137.482,11143.456,14315.989,137.482,1,-1
11809.583,14278.647,122.285,11920.359,13999.849,122.285,11698.807,14557.446,122.285,1,-1
12377.007,14528.155,125.125,12487.783,14249.356,125.125,12266.23,14806.954,125.125,1,-1
12896.138,14753.516,125.125,13026.178,14483.165,125.125,12766.098,15023.866,125.125,1,-1
13411.242,15087.532,125.125,13559.571,14826.767,125.125,13262.913,15348.298,125.125,1,-1
13853.911,15349.11,125.126,13987.388,15080.439,125.126,13720.435,15617.781,125.126,1,-1
14292.553,15481.911,125.126,14331.099,15184.397,125.126,14254.007,15779.425,125.126,1,-1
14650.712,15461.79,125.126,14591.33,15167.726,125.126,14710.094,15755.854,125.126,1,-1
15028.991,15328.988,125.126,14886.603,15064.933,125.126,15171.38,15593.044,125.126,1,-1
15371.056,15115.702,125.125,15162.616,14899.941,125.125,15579.495,15331.463,125.125,1,-1
15684.949,14797.782,125.125,15476.51,14582.021,125.125,15893.389,15013.543,125.125,1,-1
15978.72,14455.717,125.125,15739.757,14274.342,125.125,16217.683,14637.092,125.125,1,-1
16236.273,14117.677,125.125,15987.493,13950.021,125.125,16485.053,14285.332,125.125,1,-1
16493.818,13727.318,125.125,16245.038,13559.663,125.125,16742.598,13894.974,125.125,1,-1
16727.213,13365.135,125.125,16467.221,13215.456,125.125,16987.205,13514.813,125.125,1,-1
16900.254,12974.782,125.125,16616.256,12878.114,125.125,17184.252,13071.45,125.125,1,-1
16972.686,12592.479,125.125,16674.195,12562.428,125.125,17271.176,12622.531,125.125,1,-1
17000.852,12230.296,125.126,16701.586,12251.272,125.126,17300.117,12209.319,125.126,1,-1
16984.756,11843.967,125.126,16685.49,11864.943,125.126,17284.021,11822.99,125.126,1,-1
16960.611,11417.393,125.126,16661.346,11438.369,125.126,17259.877,11396.416,125.126,1,-1
