middle.x,middle.y,middle.z,side1.x,side1.y,side1.z,side2.x,side2.y,side2.z,group_id,inter_id
-705.556,-8558.257,548.338,10608.244,-8605.975,131.916,10122.559,-8958.268,131.916,0,7
-372.531,-8601.229,543.359,10400.57,-8243.961,124.693,9875.789,-8534.83,124.693,0,-1
-18.021,-8722.982,536.931,10072.129,-7694.326,134.555,9547.348,-7985.194,134.555,0,-1
372.299,-8937.84,527.636,9790.607,-7198.312,152.3,9265.826,-7489.18,152.3,0,-1
723.228,-9213.572,518.453,9489.747,-6749.271,180.977,8964.966,-7040.139,180.977,0,-1
1081.32,-9532.275,508.049,9175.42,-6273.288,211.216,8650.639,-6564.156,211.216,0,-1
1460.896,-9908.273,497.025,8884.533,-5797.207,250.668,8375.736,-6115.21,250.668,0,-1
1768.855,-10237.722,487.846,8525.304,-5231.414,273.707,8016.507,-5549.418,273.707,0,-1
2055.329,-10581.491,478.78,8206.484,-4737.47,302.917,7697.688,-5055.474,302.917,0,-1
2506.523,-11093.562,466.852,7833.78,-4072.89,331.555,7324.984,-4390.894,331.555,0,-1
2843.13,-11519.693,457.994,7451.8,-3396.19,343.825,6925.633,-3684.545,343.825,0,-1
3179.781,-11909.3,449.978,7365.534,-2632.423,314.834,6832.402,-2357.159,314.834,0,-1
3467.259,-12219.472,444.53,7585.692,-2193.207,285.113,7078.939,-1871.958,285.113,0,-1
3773.648,-12544.774,439.595,7929.054,-1759.965,246.601,7471.522,-1371.81,246.601,0,-1
4106.517,-12839.814,436.254,8400.155,-1290.276,202.583,7978.688,-863.234,202.583,0,-1
4390.211,-13093.248,434.853,8948.618,-831.173,169.528,8543.112,-388.946,169.528,0,-1
4779.818,-13395.852,444.596,9509.546,-351.015,150.559,9104.04,91.211,150.559,0,-1
5093.773,-13694.675,466.712,10013.332,147.892,140.018,9587.486,570.569,140.018,0,-1
5400.163,-13982.152,491.178,10537.78,625.093,138.837,10157.978,1089.582,138.837,0,-1
5711.281,-14256.862,508.632,11079.279,990.586,174.503,10729.357,1477.981,174.503,0,-1
6029.017,-14448.828,534.412,11624.861,1296.113,220.324,11314.609,1809.673,220.324,0,-1
6412.948,-14574.596,542.185,12208.229,1601.26,274.665,11897.977,2114.82,274.665,0,-1
6730.683,-14607.692,557.77,12724.281,1906.407,326.789,12414.029,2419.967,326.789,0,-1
7117.924,-14581.215,558.853,13187.917,2259.141,369.537,12776.077,2695.476,369.537,0,-1
7574.671,-14511.713,532.185,13691.636,2809.366,411.262,13169.847,3105.568,411.262,0,-1
8035.455,-14386.05,502.21,13993.344,3450.899,431.558,13415.607,3612.824,431.558,0,-1
8500.421,-14239.438,492.271,14102.637,4155.243,442.314,13503.758,4191.894,442.314,0,-1
8910.935,-14059.315,482.664,14067.404,4672.284,461.203,13485.143,4527.469,461.203,0,-1
9308.881,-13866.63,441.539,13900.402,5059.757,485.164,13391.881,4741.315,485.164,0,-1
9765.474,-13577.596,404.111,13607.318,5348.208,516.596,13263.143,4856.737,516.596,0,-1
10150.853,-13322.076,376.47,13214.312,5597.308,555.253,12920.212,5074.331,555.253,0,-1
10460.829,-13020.479,348.77,12693.769,5839.63,590.938,12399.669,5316.652,590.938,0,-1
10770.805,-12714.689,322.571,12125.667,6150.592,611.033,11792.065,5651.883,611.033,0,-1
11038.895,-12383.768,299.824,11560.25,6460.227,601.829,11226.648,5961.518,601.829,0,-1
11281.845,-11990.013,280.417,10982.011,6710.617,584.519,10790.731,6141.924,584.519,0,-1
11471.578,-11557.532,268.018,10351.468,6811.269,540.194,10326.343,6211.795,540.194,0,-1
11590.939,-11131.226,262.801,9680.795,6795.26,485.67,9812.332,6209.855,485.67,0,-1
11561.099,-10692.126,251.741,8898.823,6648.387,405.155,9086.528,6078.503,405.155,0,-1
11445.998,-10295.658,231.614,8326.915,6450.666,343.614,8563.497,5899.277,343.614,0,-1
11139.055,-9788.351,196.452,7644.892,6176.812,271.321,7932.589,5650.286,271.321,0,-1
10827.849,-9366.302,165.416,7052.326,5874.721,211.047,7340.023,5348.195,211.047,0,-1
10365.401,-8782.121,131.916,6487.644,5553.612,166.369,6800.911,5041.886,166.369,0,-1
10138.18,-8389.396,124.693,6063.429,5292.854,141.425,6376.696,4781.128,141.425,0,-1
9809.738,-7839.76,134.555,5593.762,5009.847,127.363,5927.877,4511.482,127.363,0,-1
9528.217,-7343.746,152.3,5091.709,4682.928,131.202,5425.824,4184.564,131.202,0,-1
9227.356,-6894.705,180.977,4585.767,4363.793,154.732,4919.882,3865.429,154.732,0,-1
8913.029,-6418.722,211.216,4142.093,4060.228,197.334,4476.208,3561.864,197.334,0,-1
8630.135,-5956.208,250.668,3627.509,3683.391,277.131,4002.257,3214.814,277.131,0,-1
8270.905,-5390.416,273.707,3260.002,3355.806,357.369,3645.876,2896.349,357.369,0,-1
7952.086,-4896.472,302.917,2839.16,2947.878,437.84,3280.56,2541.472,437.84,0,-1
7579.382,-4231.892,331.555,2403.179,2508.363,502.001,2829.194,2085.856,502.001,0,-1
7188.716,-3540.368,343.825,1994.533,2060.798,533.71,2420.547,1638.291,533.71,0,0
7098.968,-2494.791,314.834,1613.13,1659.935,542.353,2039.144,1237.428,542.353,1,0
7332.316,-2032.583,285.113,1249.466,1295.9,537.598,1655.57,854.223,537.598,1,-1
7700.288,-1565.887,246.601,840.819,926.172,513.401,1246.923,484.495,513.401,1,-1
8189.421,-1076.755,202.583,454.261,605.017,473.678,808.404,120.679,473.678,1,-1
8745.865,-610.06,169.528,48.986,319.55,425.635,373.034,-185.419,425.635,1,-1
9306.793,-129.902,150.559,-306.791,90.947,377.135,-26.212,-439.408,377.135,1,-1
9800.409,359.23,140.018,-707.653,-111.431,326.222,-427.075,-641.785,326.222,1,-1
10347.879,857.338,138.837,-1152.634,-298.958,269.191,-900.578,-843.446,269.191,1,-1
10904.318,1234.284,174.503,-1569.062,-427.389,221.865,-1317.007,-971.878,221.865,1,-1
11469.735,1552.893,220.324,6585.437,-2582.416,362.368,6406.308,-3155.052,362.368,1,-1
12053.103,1858.04,274.665,6116.16,-2453.763,378.128,6067.66,-3051.799,378.128,1,-1
12569.155,2163.187,326.789,5674.794,-2423.839,398.03,5626.294,-3021.876,398.03,1,-1
12981.997,2477.308,369.537,5152.913,-2443.472,419.772,5220.558,-3039.647,419.772,1,-1
13430.741,2957.467,411.262,4630.39,-2505.215,444.139,4725.692,-3097.598,444.139,1,-1
13704.476,3531.861,431.558,4050.629,-2602.465,471.838,4145.932,-3194.848,471.838,1,-1
13803.197,4173.568,442.314,3602.69,-2667.072,491.297,3697.993,-3259.455,491.297,1,-1
13776.273,4599.876,461.203,3097.742,-2737.765,510.248,3193.044,-3330.147,510.248,1,-1
13646.142,4900.536,485.164,2716.051,-2779.673,523.477,2741.569,-3379.13,523.477,1,-1
13435.23,5102.472,516.596,2350.112,-2792.547,533.579,2314.736,-3391.503,533.579,1,-1
13067.262,5335.819,555.253,1968.962,-2772.982,540.917,1847.572,-3360.574,540.917,1,-1
12546.719,5578.141,590.938,1622.239,-2701.596,543.428,1446.97,-3275.426,543.428,1,-1
11958.866,5901.237,611.033,1245.048,-2587.964,535.313,1026.341,-3146.683,535.313,1,-1
11393.449,6210.873,601.829,784.014,-2397.887,508.625,565.307,-2956.606,508.625,1,-1
10886.371,6426.271,584.519,413.428,-2201.131,471.878,151.328,-2740.857,471.878,1,-1
10338.905,6511.532,540.194,57.542,-1990.834,430.061,-204.557,-2530.56,430.061,1,-1
9746.563,6502.558,485.67,-254.123,-1810.635,385.984,-570.209,-2320.624,385.984,1,-1
8992.676,6363.445,405.155,-609.037,-1585.766,335.102,-925.123,-2095.755,335.102,1,-1
8445.206,6174.971,343.614,-974.788,-1377.152,284.136,-1290.874,-1887.142,284.136,1,-1
7788.741,5913.549,271.321,-1335.121,-1146.865,235.666,-1651.207,-1656.854,235.666,1,-1
7196.175,5611.458,211.047,-2795.545,-439.764,127.165,-3014.497,-998.388,127.165,1,-1
6644.277,5297.749,166.369,-3297.421,-235.694,134.494,-3569.585,-770.415,134.494,1,-1
6220.062,5036.991,141.425,-3702.577,-31.462,159.447,-4051.661,-519.458,159.447,1,-1
5760.819,4760.665,127.363,-4057.639,213.595,193.273,-4483.536,-209.03,193.273,1,-1
5258.767,4433.746,131.202,-4427.96,545.342,236.148,-4853.858,122.718,236.148,1,-1
4752.824,4114.611,154.732,-4759.707,880.948,280.766,-5185.604,458.324,280.766,1,-1
4309.15,3811.046,197.334,-5029.734,1177.978,320.942,-5455.631,755.354,320.942,1,-1
3814.883,3449.102,277.131,-5291.564,1539.558,369.291,-5772.426,1180.71,369.291,1,-1
3452.939,3126.078,357.369,-5545.656,1918.311,415.529,-6066.102,1619.755,415.529,1,-1
3059.86,2744.675,437.84,-5796.396,2331.067,456.352,-6316.842,2032.511,456.352,1,-1
2616.187,2297.11,502.001,-6011.351,2734.893,489.718,-6541.643,2454.196,489.718,1,-1
2207.54,1849.544,533.71,-6215.801,3197.797,516.42,-6746.092,2917.1,516.42,1,-1
1826.137,1448.682,542.353,-6442.212,3763.45,532.489,-7002.161,3547.909,532.489,1,-1
1452.518,1075.062,537.598,-6529.513,4703.975,490.318,-7028.325,5037.422,490.318,1,-1
1043.871,705.333,513.401,-6354.588,5124.74,453.894,-6853.399,5458.188,453.894,1,-1
631.332,362.848,473.678,-6094.564,5545.505,409.913,-6593.376,5878.952,409.913,1,-1
211.01,67.066,425.635,-5759.721,5948.177,357.325,-6200.156,6355.63,357.325,1,-1
-166.502,-174.231,377.135,-5353.777,6344.554,303.859,-5764.571,6781.874,303.859,1,-1
-567.364,-376.608,326.222,-4959.935,6687.145,257.128,-5354.705,7138.983,257.128,1,-1
-1026.606,-571.202,269.191,-4499.847,7050.152,209.499,-4869.256,7522.949,209.499,1,-1
-1443.035,-699.634,221.865,-3984.528,7437.824,167.855,-4353.937,7910.621,167.855,1,1
6495.872,-2868.734,362.368,-3490.582,7805.864,138.302,-3845.608,8289.555,138.302,2,0
6091.91,-2752.781,378.128,-3055.634,8141.53,125.811,-3410.66,8625.22,125.811,2,-1
5650.544,-2722.857,398.03,-2527.166,8481.164,124.344,-2880.125,8966.365,124.344,2,-1
5186.735,-2741.56,419.772,-2080.255,8688.556,123.563,-2372.039,9212.829,123.563,2,-1
4678.041,-2801.406,444.139,-1745.33,8778.754,123.563,-1855.978,9368.463,123.563,2,-1
4098.281,-2898.657,471.838,-1359.14,8830.345,123.563,-1362.816,9430.333,123.563,2,-1
3650.342,-2963.264,491.297,-943.103,8839.8,123.563,-946.779,9439.788,123.563,2,-1
3145.393,-3033.956,510.248,-554.547,8780.989,123.563,-474.894,9375.679,123.563,2,-1
2728.81,-3079.402,523.477,-126.156,8692.066,123.563,13.888,9275.494,123.563,2,-1
2332.424,-3092.025,533.579,220.645,8592.74,123.563,395.152,9166.803,123.563,2,-1
1908.267,-3066.778,540.917,717.053,8460.365,123.563,891.56,9034.428,123.563,2,-1
1534.604,-2988.511,543.428,1227.075,8256.125,124.344,1449.997,8813.176,124.344,2,-1
1135.695,-2867.323,535.313,1775.488,8048.107,124.344,1998.41,8605.158,124.344,2,-1
674.661,-2677.247,508.625,2375.906,7802.267,124.344,2598.828,8359.318,124.344,2,-1
282.378,-2470.994,471.878,3885.571,7216.611,124.344,4086.521,7781.959,124.344,2,-1
-73.508,-2260.697,430.061,4380.712,7116.348,127.227,4508.551,7702.57,127.227,2,-1
-412.166,-2065.629,385.984,4880.033,7057.589,132.387,4898.035,7657.319,132.387,2,-1
-767.08,-1840.76,335.102,5334.059,7097.176,139.804,5266.626,7693.374,139.804,2,-1
-1132.831,-1632.147,284.136,5842.745,7198.021,150.357,5703.477,7781.634,150.357,2,-1
-1493.164,-1401.859,235.666,6508.458,7408.663,166.21,6248.055,7949.208,166.21,2,1
-2905.021,-719.076,127.165,6995.411,7616.68,180.72,6735.007,8157.226,180.72,3,1
-3433.503,-503.054,134.494,7445.602,7848.932,193.663,7164.167,8378.832,193.663,3,-1
-3877.119,-275.46,159.447,7994.016,8165.682,210.205,7712.581,8695.582,210.205,3,-1
-4270.587,2.282,193.273,8514.061,8463.525,224.217,8232.625,8993.426,224.217,3,-1
-4640.909,334.03,236.148,8981.999,8765.823,234.939,8653.491,9267.901,234.939,3,-1
-4972.655,669.636,280.766,9421.67,9021.112,243.804,9093.162,9523.19,243.804,3,-1
-5242.683,966.666,320.942,9971.633,9334.771,251.548,9668.383,9852.498,251.548,3,-1
-5531.995,1360.134,369.291,10486.951,9575.879,254.032,10183.701,10093.605,254.032,3,-1
-5805.879,1769.033,415.529,10954.342,9868.457,262.405,10595.654,10349.438,262.405,3,-1
