middle.x,middle.y,middle.z,side1.x,side1.y,side1.z,side2.x,side2.y,side2.z
-5343.553,9194.117,89.289,-5346.12,8894.128,89.289,-5340.986,9494.106,89.289
-5914.973,9194.117,89.289,-5917.54,8894.128,89.289,-5912.406,9494.106,89.289
-6460.653,9173.526,89.289,-6463.22,8873.537,89.289,-6458.086,9473.516,89.289
-6867.339,9147.787,89.289,-6869.906,8847.798,89.289,-6864.772,9447.776,89.289
-7382.131,9142.641,89.289,-7384.698,8842.651,89.289,-7379.564,9442.63,89.289
-7855.74,9132.346,89.289,-7858.307,8832.356,89.289,-7853.173,9432.335,89.289
-8334.495,9127.199,89.289,-8337.062,8827.21,89.289,-8331.929,9427.188,89.289
-8870.522,9139.023,89.289,-8873.089,8839.034,89.289,-8867.956,9439.013,89.289
-9343.49,9135.082,89.289,-9346.057,8835.093,89.289,-9340.924,9435.071,89.289
-9804.633,9146.906,89.289,-9807.199,8846.917,89.289,-9802.066,9446.896,89.289
-10257.893,9142.965,89.289,-10260.459,8842.976,89.289,-10255.326,9442.954,89.289
-10640.208,9154.789,89.289,-10642.774,8854.8,89.289,-10637.642,9454.778,89.289
-11057.996,9166.613,89.289,-11060.562,8866.624,89.289,-11055.43,9466.603,89.289
-11483.667,9153.005,89.289,-11486.233,8853.016,89.289,-11481.101,9452.994,89.289
-11869.924,9163.906,89.289,-11872.49,8863.917,89.289,-11867.357,9463.896,89.289
-12256.181,9170.761,89.289,-12258.747,8870.771,89.289,-12253.614,9470.75,89.289
-12662.144,9173.855,89.289,-12664.71,8873.866,89.289,-12659.577,9473.845,89.289
-13036.577,9179.153,89.289,-13039.144,8879.164,89.289,-13034.011,9479.143,89.289
-13474.072,9178.517,89.289,-13476.639,8878.527,89.289,-13471.506,9478.506,89.289
-13824.855,9186.32,89.289,-13827.422,8886.331,89.289,-13822.289,9486.31,89.289
-14222.936,9194.203,89.289,-14225.502,8894.214,89.289,-14220.369,9494.192,89.289
-14624.957,9181.812,89.289,-14627.523,8881.822,89.289,-14622.391,9481.801,89.289
-14979.682,9202.086,89.289,-14982.248,8902.097,89.289,-14977.115,9502.075,89.289
-15369.879,9193.866,89.289,-15372.445,8893.877,89.289,-15367.312,9493.855,89.289
-15819.197,9180.228,89.289,-15821.764,8880.238,89.289,-15816.631,9480.217,89.289
-16319.754,9196.718,89.288,-16322.32,8896.729,89.288,-16317.188,9496.707,89.288
-16721.775,9175.736,89.289,-16724.342,8875.747,89.289,-16719.209,9475.726,89.289
-17202.625,9156.771,89.289,-17205.191,8856.781,89.289,-17200.059,9456.76,89.289
-17609.523,9127.62,89.289,-17612.09,8827.631,89.289,-17606.957,9427.609,89.289
-18038.893,9083.146,89.289,-17998.27,8785.908,89.289,-18079.516,9380.383,89.289
-18458.266,9023.751,89.289,-18417.643,8726.514,89.289,-18498.889,9320.988,89.289
-18862.664,8973.68,89.289,-18822.041,8676.442,89.289,-18903.287,9270.917,89.289
