middle.x,middle.y,middle.z,side1.x,side1.y,side1.z,side2.x,side2.y,side2.z
-12422.772,22781.619,190.625,-12409.675,22481.904,190.625,-12435.87,23081.334,190.625
-12026.776,22781.619,190.624,-12013.679,22481.904,190.624,-12039.874,23081.334,190.624
-11665.724,22807.826,189.843,-11652.626,22508.111,189.843,-11678.821,23107.541,189.843
-11316.316,22816.562,189.841,-11303.219,22516.848,189.841,-11329.414,23116.277,189.841
-10984.38,22813.65,189.843,-10971.282,22513.936,189.843,-10997.478,23113.365,189.843
-10624.4,22801.975,190.62,-10611.303,22502.26,190.62,-10637.498,23101.689,190.62
-10309.927,22799.314,190.62,-10296.829,22499.6,190.62,-10323.024,23099.029,190.62
-10011.857,22810.738,190.622,-9998.76,22511.023,190.622,-10024.955,23110.453,190.622
-9691.571,22804.916,190.62,-9678.474,22505.201,190.62,-9704.669,23104.631,190.62
-9330.517,22807.828,190.618,-9317.419,22508.113,190.618,-9343.614,23107.543,190.618
-9030.606,22804.916,190.62,-9017.509,22505.201,190.62,-9043.704,23104.631,190.62
-8759.817,22810.74,190.62,-8746.72,22511.025,190.62,-8772.915,23110.455,190.62
-8500.672,22813.652,190.622,-8487.574,22513.938,190.622,-8513.77,23113.367,190.622
-8218.234,22813.652,191.403,-8205.137,22513.938,191.403,-8231.332,23113.367,191.403
-7912.501,22828.213,191.401,-7899.404,22528.498,191.401,-7925.599,23127.928,191.401
-7615.505,22834.037,191.401,-7602.408,22534.322,191.401,-7628.603,23133.752,191.401
-7338.892,22842.773,191.403,-7325.794,22543.059,191.403,-7351.989,23142.488,191.403
-7068.101,22845.686,191.401,-7055.003,22545.971,191.401,-7081.198,23145.4,191.401
-6776.929,22854.422,191.403,-6763.832,22554.707,191.403,-6790.027,23154.137,191.403
-6511.961,22874.807,191.401,-6498.864,22575.092,191.401,-6525.059,23174.521,191.401
-6232.436,22889.367,191.403,-6219.338,22589.652,191.403,-6245.533,23189.082,191.403
-5967.468,22909.752,191.401,-5954.371,22610.037,191.401,-5980.566,23209.467,191.401
-5658.827,22924.312,191.403,-5645.729,22624.598,191.403,-5671.924,23224.027,191.403
-5388.038,22935.961,191.403,-5374.94,22636.246,191.403,-5401.135,23235.676,191.403
-5128.895,22950.521,191.401,-5115.797,22650.807,191.401,-5141.992,23250.236,191.401
-4858.104,22970.904,192.187,-4845.006,22671.189,192.187,-4871.202,23270.619,192.187
-4511.609,22982.553,192.187,-4498.511,22682.838,192.187,-4524.707,23282.268,192.187
-4237.907,22988.377,192.183,-4224.81,22688.662,192.183,-4251.005,23288.092,192.183
-3937.999,22994.201,192.183,-3924.901,22694.486,192.183,-3951.097,23293.916,192.183
-3626.444,23000.025,192.183,-3613.346,22700.311,192.183,-3639.542,23299.74,192.183
-3306.153,23014.584,192.183,-3293.056,22714.869,192.183,-3319.251,23314.299,192.183
-2974.216,23014.584,192.183,-2961.118,22714.869,192.183,-2987.314,23314.299,192.183
-2591.985,23031.699,192.181,-2578.887,22731.984,192.181,-2605.083,23331.414,192.181
-2124.181,23025.994,192.183,-2111.083,22726.279,192.183,-2137.278,23325.709,192.183
-1622.147,23025.994,192.183,-1609.049,22726.279,192.183,-1635.245,23325.709,192.183
-1028.834,23025.994,192.183,-1015.737,22726.279,192.183,-1041.932,23325.709,192.183
-492.571,23014.584,192.183,-479.473,22714.869,192.183,-505.669,23314.299,192.183
15.168,23048.814,192.183,28.265,22749.1,192.183,2.07,23348.529,192.183
642.71,23048.814,192.183,655.807,22749.1,192.183,629.612,23348.529,192.183
1253.137,23060.225,192.187,1266.235,22760.51,192.187,1240.04,23359.939,192.187
1772.286,23111.57,191.71,1785.383,22811.855,191.71,1759.188,23411.285,191.71
2348.483,23128.686,191.401,2361.58,22828.971,191.401,2335.385,23428.4,191.401
2936.09,23134.391,191.403,2949.188,22834.676,191.403,2922.992,23434.105,191.403
3575.042,23094.455,191.401,3588.139,22794.74,191.401,3561.944,23394.17,191.401
4213.994,23088.75,191.403,4227.091,22789.035,191.403,4200.896,23388.465,191.403
4887.176,23054.52,191.403,4900.273,22754.805,191.403,4874.078,23354.234,191.403
5446.258,23065.93,191.403,5459.355,22766.215,191.403,5433.16,23365.645,191.403
5976.814,23105.865,191.405,6033.238,22811.219,191.405,5920.391,23400.512,191.405
6467.438,23197.146,191.401,6572.914,22916.301,191.401,6361.961,23477.992,191.401
6889.602,23396.822,191.401,7042.37,23138.633,191.401,6736.833,23655.012,191.401
7129.209,23602.205,191.401,7357.712,23407.818,191.401,6900.707,23796.592,191.401
7283.245,23898.867,192.185,7564.097,23793.406,192.185,7002.392,24004.328,192.185
7431.573,24263.99,192.187,7712.426,24158.529,192.187,7150.721,24369.451,192.187
7676.886,24788.848,192.185,7957.738,24683.387,192.185,7396.033,24894.309,192.185
7813.805,25256.658,192.185,8094.658,25151.197,192.185,7532.953,25362.119,192.185
8019.183,25781.516,191.405,8300.035,25676.055,191.405,7738.33,25886.977,191.405
8173.217,26312.08,191.403,8454.069,26206.619,191.403,7892.365,26417.541,191.403
8344.368,26836.934,191.405,8625.221,26731.473,191.405,8063.516,26942.395,191.405
8526.928,27498.703,191.401,8814.289,27412.543,191.401,8239.566,27584.863,191.401
8709.488,28217.527,192.187,8996.85,28131.367,192.187,8422.127,28303.688,192.187
8869.23,28845.074,193.32,9156.592,28758.914,193.32,8581.869,28931.234,193.32
9040.382,29518.264,195.452,9335.995,29467.146,195.452,8744.769,29569.381,195.452
9154.482,30231.381,199.216,9450.096,30180.264,199.216,8858.869,30282.498,199.216
9205.828,30841.811,204.229,9505.412,30826.021,204.229,8906.244,30857.6,204.229
9228.648,31292.504,209.257,9528.232,31276.715,209.257,8929.064,31308.293,209.257
9177.303,31646.211,214.18,9469.629,31713.629,214.18,8884.977,31578.793,214.18
8983.331,31994.217,219.613,9220.461,32177.98,219.613,8746.201,31810.453,219.613
8679.972,32277.762,225.647,8878.554,32502.629,225.647,8481.39,32052.895,225.647
8337.41,32527.885,231.272,8482.928,32790.23,231.272,8191.893,32265.541,231.272
7805.623,32802.848,238.864,7922.78,33079.027,238.864,7688.466,32526.67,238.864
7146.34,33038.211,247.289,7247.409,33320.672,247.289,7045.272,32755.748,247.289
6507.389,33220.754,255.353,6593.403,33508.16,255.353,6421.374,32933.348,255.353
5805.682,33409.016,264.824,5891.696,33696.422,264.824,5719.667,33121.609,264.824
5132.5,33563.035,274.202,5218.515,33850.441,274.202,5046.486,33275.629,274.202
4544.893,33717.066,283.802,4630.908,34004.473,283.802,4458.878,33429.66,283.802
